lulc_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3
wpas_pond_87,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_87,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_87,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_85_drn,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_85_drn,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_85_drn,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_48_drn,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_48_drn,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_48_drn,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_94,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_94,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_94,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_92,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_92,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_92,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_90,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_90,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_90,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_52,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_52,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_52,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_51,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_51,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_51,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_54,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_54,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_54,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_107,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_107,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_107,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_112,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_112,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_112,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_123,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_123,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_123,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_120,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_120,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_120,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_pond_121,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_pond_121,5,1,5,31,fertilizer,manure,broadcast,16
wpas_pond_121,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_buffer_11,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_buffer_11,5,1,5,31,fertilizer,manure,broadcast,16
wpas_buffer_11,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_buffer_13,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_buffer_13,5,1,5,31,fertilizer,manure,broadcast,16
wpas_buffer_13,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_buffer_16,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_buffer_16,5,1,5,31,fertilizer,manure,broadcast,16
wpas_buffer_16,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_buffer_18,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_buffer_18,5,1,5,31,fertilizer,manure,broadcast,16
wpas_buffer_18,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_buffer_21,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_buffer_21,5,1,5,31,fertilizer,manure,broadcast,16
wpas_buffer_21,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_buffer_33_drn,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_buffer_33_drn,5,1,5,31,fertilizer,manure,broadcast,16
wpas_buffer_33_drn,9,1,10,31,harvest_only,wpas,grass_mulch,
wpas_buffer_49_drn,,,,,initial_plant,wpas,"1,2000,0,0,1,1000",
wpas_buffer_49_drn,5,1,5,31,fertilizer,manure,broadcast,16
wpas_buffer_49_drn,9,1,10,31,harvest_only,wpas,grass_mulch,
